time_days,C_plasma,C_liver_cytosol,C_liver_lysosome,C_muscle_cytosol,C_muscle_lysosome
0.0,0.0,0.0,0.0,0.0,0.0
0.00600120024004801,0.7994979887017788,0.22935727368828104,0.0005631480786707207,0.00800896742517479,1.966341430290672e-05
0.01200240048009602,1.398187544307459,0.8396522259248346,0.0042158331971938355,0.029327571094999054,0.00014723192855968097
0.01800360072014403,1.8364794553355694,1.731966403305269,0.013331796171114628,0.06051089753480208,0.00046568427552099
0.02400480096019204,2.1471569647695397,2.8274518606128907,0.02964714330334932,0.09881245291817815,0.0010357909786799183
0.03000600120024005,2.3567841876739495,4.06353126481653,0.05439080211345172,0.14205196755440042,0.001900654119789421
0.03600720144028806,2.486856065936659,5.390801784120634,0.08839016254162932,0.18850768221846467,0.003089383819202369
0.042008401680336066,2.5547374163375376,6.770512821665851,0.13215652988998658,0.23682859637962347,0.004620072358737907
0.04800960192038408,2.574430225369318,8.17251064111601,0.18595419451273362,0.28596295799347515,0.006502198309658583
0.05401080216043209,2.5572004406269575,9.573564551605347,0.2498561510493939,0.3351000265684526,0.008738566166768175
0.0600120024004801,2.5120889517361946,10.956007252939948,0.32378885973598576,0.38362276502077997,0.011326864718146173
0.06601320264052811,2.446328984396731,12.306628696645404,0.40756820109974345,0.4310693507898048,0.014260918988864882
0.07201440288057612,2.365686523005797,13.615778156430574,0.5009282278046906,0.47710193020814684,0.0175316915508256
0.07801560312062412,2.274738362630245,14.876634711245908,0.6035441207837732,0.5214812317697783,0.02112808215096897
0.08401680336067213,2.17709688230953,16.084621376760285,0.7150502235144319,0.564046176852748,0.025037556058729423
0.09001800360072015,2.0755968024724183,17.236921322769973,0.8350546201241593,0.6046970421062096,0.029246652123279343
0.09601920384076816,1.9724441700807098,18.332095562285726,0.9631502740656347,0.6433821521169412,0.033741371124693845
0.10202040408081615,1.8693385893473857,19.36977213283586,1.0989237822199014,0.6800870594831139,0.03850748111791269
0.10802160432086418,1.7675728905182457,20.350395397363116,1.2419621410661392,0.7148258166723058,0.043530753569953645
0.11402280456091218,1.6681141230239322,21.275024938943478,1.3918578903828258,0.7476339734945978,0.048797143006781334
0.1200240048009602,1.5716688888094872,22.145175898548903,1.548212915739649,0.77856301663641,0.05429291995693122
0.1260252050410082,1.47873688013768,22.9626902784516,1.7106412746979525,0.8076758867725984,0.06000476988884618
0.13202640528105622,1.3896538733213337,23.729635867070424,1.8787711582739313,0.8350434569031181,0.06591986202513592
0.13802760552110424,1.304626708710689,24.448225957734266,2.0522462221370077,0.8607417343900766,0.07202589619320711
0.14402880576115223,1.223761478752273,25.12075658364055,2.2307263981789234,0.8848496726590075,0.07831113156300197
0.15003000600120023,1.1470862268819964,25.749557780685365,2.413888303531691,0.907447471198748,0.0847644013470709
0.15603120624124825,1.0745692498060246,26.3369559600511,2.6014253442263184,0.9286152623303526,0.09137511684629401
0.16203240648129627,1.0061338374872562,26.885245167805415,2.7930475869477647,0.9484321074072892,0.09813326339850192
0.16803360672134426,0.9416699409642086,27.39666594544007,2.988481439370207,0.9669752576924872,0.10502938964016828
0.17403480696139229,0.8810435395323628,27.873389741161883,3.187469206284621,0.9843196085765323,0.11205459242127448
0.1800360072014403,0.8241040754895445,28.317507913622222,3.3897685508712287,1.0005373137854525,0.11920049839610489
0.1860372074414883,0.7706903103777849,28.73102440696629,3.5951518893241583,1.0156975275209927,0.126459243272828
0.19203840768153632,0.7206349212329425,29.115851273019977,3.8034057435691255,1.0298662458481278,0.13382344958413872
0.19803960792158434,0.6737680741069569,29.47380642784198,4.014330070344722,1.043106226002145,0.14128620361578562
0.2040408081616323,0.629920177879804,29.80661312924263,4.22773758080127,1.0554769657422705,0.14884103198681245
0.21004200840168033,0.5889238697073732,30.115901037151083,4.443453055317222,1.0670347379466576,0.1564818780450858
0.21604320864172835,0.5506158273029669,30.403207431598865,4.6613126842038755,1.0778326308014194,0.16420307915216648
0.22204440888177635,0.5148376889591242,30.669980230458233,4.881163408046489,1.0879206508189967,0.1719993439328623
0.22804560912182437,0.4814369238820434,30.917580934353587,5.1028622814618485,1.0973458233969022,0.17986573033193742
0.2340468093618724,0.4502673459877798,31.147288116028193,5.326275860371906,1.10615231246692,0.18779762447358872
